config,phase,run,repetition,kpi,mean,std,median,p5,p25,p75,p95,min,max,n_samples
RTP_Poisoning,Poisoning,RTP_Poisoning-3-20260415-18:37:54-13364,0,cqi,14.810791104629967,0.391674468510375,15.0,14.0,15.0,15.0,15.0,14.0,15.0,10972
RTP_Poisoning,Poisoning,RTP_Poisoning-4-20260415-18:38:05-25056,0,cqi,14.15732908747139,0.3641107602183845,14.0,14.0,14.0,14.0,15.0,14.0,15.0,10049
RTP_Poisoning,Poisoning,RTP_Poisoning-0-20260415-18:37:21-10512,0,throughput,5809.82278998109,1806.943471853328,6453.1351284347,699.0092582511786,6448.275862069,6456.998779479725,6484.89452561613,7.5495991104348,18428.571428571,9950
RTP_Poisoning,Poisoning,RTP_Poisoning-1-20260415-18:37:32-24924,0,throughput,6460.858704253741,145.85292557380558,6452.5680161066,6446.6070489216,6450.686425942726,6456.1722488038,6480.8612440191,1482.7586206897,12900.0,9950
RTP_Poisoning,Poisoning,RTP_Poisoning-2-20260415-18:37:43-17856,0,throughput,5582.175922211242,1944.6911579658918,6450.0,485.621998628546,6442.143727162,6454.1372674792,6470.72623391636,6.7585267459527,12900.0,9949
RTP_Poisoning,Poisoning,RTP_Poisoning-3-20260415-18:37:54-13364,0,throughput,6190.306102273099,971.559995360508,6450.324202051001,4133.29414170793,6447.8271849338,6456.353637026525,6481.7033106346,31.563494005383,18428.571428571,9950
RTP_Poisoning,Poisoning,RTP_Poisoning-4-20260415-18:38:05-25056,0,throughput,6133.239434536329,1049.4699175344924,6451.0742845558,3576.7610245271003,6446.756347299175,6457.749299159,6492.031343183975,18.202342316918,18428.571428571,9950
RTP_Poisoning,Poisoning,RTP_Poisoning-0-20260415-18:37:21-10512,0,delay,0.0047921518039306535,0.0023516299077842953,0.004768940915,0.00432251059,0.00447763075,0.004861231987,0.00498889873,0.00432251059,0.079861231987,9950
RTP_Poisoning,Poisoning,RTP_Poisoning-1-20260415-18:37:32-24924,0,delay,0.005410554389006532,0.0023794957177836746,0.004510628062,0.00407671192,0.004200945355,0.004788448722,0.010828001625,0.00407671192,0.074828001625,9950
RTP_Poisoning,Poisoning,RTP_Poisoning-2-20260415-18:37:43-17856,0,delay,0.005553586289217509,0.008048705861864444,0.004552383491,0.004106929305,0.00426126209,0.004784649434,0.010961909515,0.004106929305,0.310106929305,9949
RTP_Poisoning,Poisoning,RTP_Poisoning-3-20260415-18:37:54-13364,0,delay,0.005188674132925629,0.0026327368594260296,0.0045114102,0.004066745092,0.004333247109,0.004753427469,0.0105114102,0.004066745092,0.0705114102,9950
RTP_Poisoning,Poisoning,RTP_Poisoning-4-20260415-18:38:05-25056,0,delay,0.004535609780040201,0.0019601542317292534,0.004472987689,0.004016916972,0.004163306723,0.004673835921,0.004694574026,0.004016916972,0.085374537944,9950
RTP_Poisoning,Poisoning,RTP_Poisoning-0-20260415-18:37:21-10512,0,handover,0.8846153846153846,0.8003327710263389,1.0,0.0,0.0,1.75,2.0,0.0,2.0,26
RTP_Poisoning,Poisoning,RTP_Poisoning-1-20260415-18:37:32-24924,0,handover,0.7142857142857143,0.7648751621051908,1.0,0.0,0.0,1.0,2.0,0.0,2.0,21
RTP_Poisoning,Poisoning,RTP_Poisoning-2-20260415-18:37:43-17856,0,handover,0.9666666666666667,0.7951240294584375,1.0,0.0,0.0,2.0,2.0,0.0,2.0,30
RTP_Poisoning,Poisoning,RTP_Poisoning-3-20260415-18:37:54-13364,0,handover,0.8333333333333334,0.7993052538854533,1.0,0.0,0.0,1.25,2.0,0.0,2.0,24
RTP_Poisoning,Poisoning,RTP_Poisoning-4-20260415-18:38:05-25056,0,handover,0.8695652173913043,0.8497747950300897,1.0,0.0,0.0,2.0,2.0,0.0,2.0,23
RTP_Poisoning,Poisoning,RTP_Poisoning-0-20260415-18:37:21-10512,0,harq_error,0.001407601045646491,0.037491595124011276,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9946
RTP_Poisoning,Poisoning,RTP_Poisoning-1-20260415-18:37:32-24924,0,harq_error,0.1272264631043257,0.3332264848271958,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11397
RTP_Poisoning,Poisoning,RTP_Poisoning-2-20260415-18:37:43-17856,0,harq_error,0.09448603249954354,0.29250371307393475,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10954
RTP_Poisoning,Poisoning,RTP_Poisoning-3-20260415-18:37:54-13364,0,harq_error,0.0942398833394094,0.2921621599858269,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10972
RTP_Poisoning,Poisoning,RTP_Poisoning-4-20260415-18:38:05-25056,0,harq_error,0.01094636282217136,0.10405066056079004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10049
