seed,check_interval,ddd_precision,ddd_recall,ddd_latency,dpd_precision,dpd_recall,dpd_latency,cdd_precision,cdd_recall,cdd_latency,cpd_precision,cpd_recall,cpd_latency,stable_accuracy,drift_accuracy,recovery_accuracy,ndt_pseudo_mean,ndt_gt_mean,atm_deployments,total_mtout,total_security
23,50,0.6,1.0,48,0.6666666666666666,1.0,48,0.8333333333333334,0.8333333333333334,98,0.6666666666666666,1.0,48.0,0.9326683291770573,0.525,0.8542713567839196,1.0,0.6475,4,4,10
24,50,0.5555555555555556,0.8333333333333334,98,0.4,1.0,48,1.0,0.8333333333333334,98,0.6666666666666666,1.0,48.0,0.9276807980049875,0.555,0.8542713567839196,0.99625,0.6325,4,4,12
25,50,0.5555555555555556,0.8333333333333334,98,0.5,1.0,48,1.0,0.8333333333333334,98,0.6666666666666666,1.0,48.0,0.9551122194513716,0.61,0.8291457286432161,1.0,0.5783333333333334,3,3,9
26,50,0.5555555555555556,0.8333333333333334,98,0.2857142857142857,1.0,48,1.0,0.8333333333333334,98,0.6666666666666666,1.0,48.0,0.9501246882793017,0.58,0.7788944723618091,0.9975,0.6125,4,4,14
27,50,0.6,1.0,48,0.6666666666666666,1.0,48,0.8333333333333334,0.8333333333333334,98,0.5,1.0,48.0,0.9650872817955112,0.56,0.7738693467336684,1.0,0.63625,4,4,12
28,50,0.6,1.0,48,0.5,1.0,48,1.0,0.8333333333333334,98,0.5,1.0,48.0,0.9675810473815462,0.64,0.7336683417085427,1.0,0.6512500000000001,4,4,11
29,50,0.5555555555555556,0.8333333333333334,98,0.5,1.0,48,1.0,0.8333333333333334,98,0.5,1.0,48.0,0.9551122194513716,0.575,0.8140703517587939,0.99875,0.65875,4,4,13
0,100,0.6,1.0,98,0.5,1.0,98,1.0,1.0,98,0.5,1.0,98.0,0.9476309226932669,0.605,0.8040201005025126,1.0,0.6433333333333333,3,3,5
1,100,0.6,1.0,98,1.0,1.0,98,1.0,1.0,98,1.0,1.0,98.0,0.9675810473815462,0.56,0.8291457286432161,1.0,0.6483333333333333,3,3,5
2,100,0.6,1.0,98,0.5,1.0,98,1.0,0.6666666666666666,198,0.5,1.0,98.0,0.942643391521197,0.63,0.8291457286432161,0.995,0.74125,4,4,7
3,100,0.6,1.0,98,0.5,1.0,98,1.0,1.0,98,1.0,1.0,98.0,0.9451371571072319,0.63,0.8090452261306532,1.0,0.6583333333333333,3,3,5
4,100,0.6,1.0,98,0.5,1.0,98,1.0,0.6666666666666666,198,0.5,1.0,98.0,0.940149625935162,0.62,0.7939698492462312,1.0,0.6333333333333333,3,3,6
5,100,0.6,1.0,98,1.0,1.0,98,1.0,1.0,98,0.5,1.0,98.0,0.9326683291770573,0.565,0.7839195979899497,1.0,0.6266666666666667,3,3,5
6,100,0.6,1.0,98,0.5,1.0,98,1.0,1.0,98,0.5,1.0,98.0,0.9451371571072319,0.6,0.8090452261306532,0.9983333333333334,0.6616666666666667,3,3,7
7,100,0.6,1.0,98,0.5,1.0,98,1.0,1.0,98,0.5,1.0,98.0,0.9576059850374065,0.58,0.7939698492462312,1.0,0.635,3,3,7
8,100,0.6,1.0,98,0.5,1.0,98,1.0,1.0,98,1.0,1.0,98.0,0.9376558603491272,0.57,0.8291457286432161,1.0,0.6516666666666666,3,3,5
9,100,0.6,1.0,98,1.0,1.0,98,1.0,1.0,98,0.5,1.0,98.0,0.942643391521197,0.63,0.8040201005025126,1.0,0.6483333333333333,3,3,5
10,100,0.6,1.0,98,0.5,1.0,98,1.0,1.0,98,1.0,1.0,98.0,0.9251870324189526,0.595,0.8190954773869347,1.0,0.6433333333333333,3,3,4
11,100,0.6,1.0,98,1.0,1.0,98,1.0,0.6666666666666666,198,0.0,0.0,,0.942643391521197,0.6,0.7889447236180904,1.0,0.6416666666666666,3,3,3
12,100,0.6,1.0,98,1.0,1.0,98,1.0,1.0,98,0.5,1.0,98.0,0.9251870324189526,0.575,0.7638190954773869,1.0,0.6333333333333333,3,3,5
13,100,0.6,1.0,98,1.0,1.0,98,1.0,1.0,98,1.0,1.0,98.0,0.9576059850374065,0.615,0.7939698492462312,1.0,0.6483333333333333,3,3,4
14,100,0.6,1.0,98,1.0,1.0,98,1.0,1.0,98,0.5,1.0,98.0,0.942643391521197,0.575,0.8291457286432161,1.0,0.6483333333333333,3,3,6
15,100,0.6,1.0,98,1.0,1.0,98,1.0,0.6666666666666666,198,0.5,1.0,98.0,0.9251870324189526,0.62,0.7889447236180904,1.0,0.6366666666666667,3,3,5
16,100,0.6,1.0,98,0.3333333333333333,1.0,98,1.0,1.0,98,0.5,1.0,98.0,0.9351620947630923,0.565,0.8492462311557789,0.9983333333333334,0.65,3,3,8
17,100,0.6,1.0,98,1.0,1.0,98,1.0,1.0,98,0.5,1.0,98.0,0.9526184538653366,0.63,0.8090452261306532,1.0,0.6666666666666666,3,3,5
18,100,0.6,1.0,98,1.0,1.0,98,1.0,1.0,98,1.0,1.0,98.0,0.9326683291770573,0.6,0.8391959798994975,1.0,0.6566666666666666,3,3,4
19,100,0.6,1.0,98,0.5,1.0,98,1.0,1.0,98,0.5,1.0,98.0,0.9600997506234414,0.575,0.8341708542713567,1.0,0.65,3,3,7
20,100,0.6,1.0,98,0.5,1.0,98,1.0,1.0,98,1.0,1.0,98.0,0.9451371571072319,0.565,0.7788944723618091,1.0,0.625,3,3,6
21,100,0.6,1.0,98,0.3333333333333333,1.0,98,1.0,0.6666666666666666,198,1.0,1.0,98.0,0.9650872817955112,0.605,0.8241206030150754,1.0,0.6666666666666666,3,3,6
22,100,0.6,1.0,98,0.5,1.0,98,1.0,1.0,98,1.0,1.0,98.0,0.9526184538653366,0.57,0.8542713567839196,1.0,0.6416666666666666,3,3,5
23,100,0.6,1.0,98,1.0,1.0,98,1.0,1.0,98,1.0,1.0,98.0,0.9326683291770573,0.525,0.8542713567839196,1.0,0.6333333333333333,3,3,5
24,100,0.6,1.0,98,0.3333333333333333,1.0,98,1.0,1.0,98,1.0,1.0,98.0,0.9276807980049875,0.555,0.8542713567839196,0.995,0.6383333333333333,3,3,6
25,100,0.6,1.0,98,0.5,1.0,98,1.0,1.0,98,1.0,1.0,98.0,0.9551122194513716,0.61,0.8291457286432161,1.0,0.6649999999999999,3,3,4
26,100,0.6,1.0,98,0.25,1.0,98,1.0,1.0,98,1.0,1.0,98.0,0.9501246882793017,0.58,0.7788944723618091,0.9966666666666667,0.6283333333333333,3,3,7
27,100,0.6,1.0,98,1.0,1.0,98,1.0,1.0,98,0.5,1.0,98.0,0.9650872817955112,0.56,0.7738693467336684,1.0,0.6266666666666666,3,3,6
28,100,0.6,1.0,98,0.5,1.0,98,1.0,1.0,98,0.5,1.0,98.0,0.9675810473815462,0.64,0.7336683417085427,1.0,0.6416666666666667,3,3,6
29,100,0.6,1.0,98,0.5,1.0,98,1.0,1.0,98,0.5,1.0,98.0,0.9551122194513716,0.575,0.8140703517587939,1.0,0.6483333333333333,3,3,7
